pair,return_correlation,transition_jaccard,transition_disagreement,mean_holdings_jaccard,mean_L1_target_weight_distance
HAA–BAA,0.6322723560664605,0.4262295081967213,0.5737704918032787,0.2445391000436872,1.4663608562691135
HAA–ADM,0.8379997531393061,0.6185567010309279,0.38144329896907214,0.4063475515310378,0.9373088685015303
HAA–FAA,0.8169424760671462,0.56,0.43999999999999995,0.33599279161205764,1.0581039755351695
HAA–LAA,0.6337818280048572,0.03759398496240601,0.9624060150375939,0.3289665991500854,1.3029051987767588
BAA–ADM,0.6417744280749882,0.5495049504950495,0.45049504950495045,0.18844473569244213,1.5840978593272173
BAA–FAA,0.6385087966646119,0.5170731707317073,0.48292682926829267,0.1961282219309742,1.5764525993883796
BAA–LAA,0.46532379361265414,0.03787878787878788,0.9621212121212122,0.093435998252512,1.7399082568807338
ADM–FAA,0.8794301993233705,0.7089201877934272,0.29107981220657275,0.5941550167467599,0.5581039755351691
ADM–LAA,0.7172086128172526,0.02702702702702703,0.972972972972973,0.3383447846750599,1.2951834862385327
FAA–LAA,0.7105004819873351,0.03867403314917127,0.9613259668508287,0.2660072216264877,1.362385321100918
