rank,combination,mean_decision_distance,min_pair_distance,max_pair_distance,historical_2023_set
1,ADM | DM | FAA | LAA | QSF,0.8945418809335072,0.6722152864474961,0.9782608695652174,False
2,BAA_Aggressive | DM | FAA | LAA | QSF,0.8904170459364851,0.7760632796845709,0.9782608695652174,False
3,DM | FAA | LAA | QSF | RAA,0.8901643849843598,0.6101254480286739,0.9833333333333334,False
4,ADM | DM | FAA | QSF | RAA,0.8892930218749522,0.6722152864474961,0.9833333333333334,False
5,ADM | BAA_Aggressive | DM | LAA | QSF,0.8869506513554939,0.6722152864474961,0.9782608695652174,False
6,ADM | BAA_Aggressive | FAA | LAA | QSF,0.8850960945544083,0.7760632796845709,0.971830985915493,False
7,BAA_Balanced | DM | FAA | LAA | QSF,0.8843995328211278,0.716141963885919,0.9782608695652174,False
8,ADM | BAA_Balanced | DM | LAA | QSF,0.8843577539483924,0.6722152864474961,0.9782608695652174,False
9,ADM | FAA | LAA | QSF | RAA,0.883705048521087,0.6101254480286739,0.971830985915493,False
10,BAA_Aggressive | DM | FAA | QSF | RAA,0.8836617439347083,0.7760632796845709,0.9833333333333334,False
11,BAA_Aggressive | DM | FAA | LAA | RAA,0.8829817838921873,0.6101254480286739,0.9833333333333334,False
12,ADM | DM | FAA | LAA | RAA,0.8823361260560414,0.6101254480286739,0.9833333333333334,False
13,ADM | DAA | DM | LAA | QSF,0.8817563864095354,0.6722152864474961,0.9782608695652174,False
14,ADM | BAA_Aggressive | DM | FAA | LAA,0.8814698694156717,0.6722152864474961,0.9782608695652174,False
15,ADM | DM | GTAA | LAA | QSF,0.88134875120628,0.6722152864474961,0.9782608695652174,False
16,DM | FAA | GTAA | LAA | QSF,0.8812577164077373,0.6973058880504235,0.9782608695652174,False
17,DM | FAA | LAA | RAA | VAA,0.8791734824977793,0.6101254480286739,0.9833333333333334,False
18,DM | FAA | GTAA | QSF | RAA,0.8784320144256503,0.6973058880504235,0.9833333333333334,False
19,ADM | BAA_Balanced | FAA | LAA | QSF,0.8782776448220553,0.716141963885919,0.971830985915493,False
20,BAA_Aggressive | DM | GTAA | LAA | QSF,0.8779140244824836,0.7568485291943027,0.9782608695652174,False
21,ADM | FAA | GTAA | LAA | QSF,0.8769832235488995,0.6973058880504235,0.971830985915493,False
22,BAA_Balanced | DM | FAA | QSF | RAA,0.876659257792985,0.716141963885919,0.9833333333333334,False
23,ADM | BAA_Aggressive | DM | QSF | RAA,0.8761503609007631,0.6722152864474961,0.9833333333333334,False
24,ADM | DM | GPM | LAA | QSF,0.8753569194047028,0.6722152864474961,0.9782608695652174,False
25,DM | FAA | GPM | LAA | QSF,0.8747299464511482,0.738450008477058,0.9782608695652174,False
26,ADM | DM | GTAA | QSF | RAA,0.8744780607712388,0.6722152864474961,0.9833333333333334,False
27,ADM | DM | FAA | GPM | LAA,0.8744713200443641,0.6722152864474961,0.9782608695652174,False
28,DAA | DM | FAA | LAA | QSF,0.8740119499980874,0.6386287149357383,0.9782608695652174,False
29,ADM | BAA_Aggressive | FAA | QSF | RAA,0.8735042566779173,0.7760632796845709,0.9685534591194968,False
30,ADM | DAA | DM | QSF | RAA,0.873197090921718,0.6722152864474961,0.9833333333333334,False
31,DM | FAA | GTAA | LAA | RAA,0.8728205200296836,0.6101254480286739,0.9833333333333334,False
32,ADM | BAA_Balanced | DM | QSF | RAA,0.8725724904672957,0.6722152864474961,0.9833333333333334,False
33,ADM | DM | LAA | QSF | RAA,0.8722035351209427,0.6101254480286739,0.9833333333333334,False
34,BAA_Balanced | DM | GTAA | LAA | QSF,0.8717729037841752,0.6956911375661375,0.9782608695652174,False
35,DM | FAA | LAA | QSF | VAA,0.8716186019538352,0.7039891840648093,0.9782608695652174,False
36,ADM | BAA_Aggressive | DM | FAA | RAA,0.871527792808507,0.6722152864474961,0.9833333333333334,False
37,ADM | BAA_Aggressive | FAA | LAA | RAA,0.8713924403064144,0.6101254480286739,0.971830985915493,False
38,DM | FAA | KDA | LAA | QSF,0.8712496015520823,0.6910555849523415,0.9782608695652174,False
39,DM | FAA | KDA | LAA | RAA,0.8712353291224277,0.6101254480286739,0.9833333333333334,False
40,BAA_Aggressive | DAA | DM | LAA | QSF,0.8711143620429953,0.7026323957812348,0.9782608695652174,False
41,BAA_Balanced | DM | FAA | LAA | RAA,0.8709555652276906,0.6101254480286739,0.9833333333333334,False
42,DAA | DM | GTAA | LAA | QSF,0.870585342056126,0.710178099565871,0.9782608695652174,False
43,DM | GTAA | LAA | QSF | RAA,0.8704389985494909,0.6101254480286739,0.9833333333333334,False
44,ADM | BAA_Aggressive | GTAA | LAA | QSF,0.8704240842877777,0.7568485291943027,0.971830985915493,False
45,ADM | FAA | GPM | LAA | QSF,0.8701035252608701,0.738450008477058,0.971830985915493,False
46,BAA_Aggressive | DM | GTAA | QSF | RAA,0.8695368911042205,0.7568485291943027,0.9833333333333334,False
47,ADM | BAA_Balanced | DM | FAA | LAA,0.8695023753077576,0.6722152864474961,0.9782608695652174,False
48,DAA | DM | FAA | QSF | RAA,0.8694976429632242,0.6386287149357383,0.9833333333333334,False
49,DM | FAA | GPM | QSF | RAA,0.8694640293817345,0.738450008477058,0.9833333333333334,False
50,ADM | DM | KDA | LAA | QSF,0.8694326633042622,0.6722152864474961,0.9782608695652174,False
51,ADM | FAA | GTAA | QSF | RAA,0.869320985692098,0.6973058880504235,0.9685534591194968,False
52,ADM | BAA_Aggressive | DM | LAA | RAA,0.869219934023833,0.6101254480286739,0.9833333333333334,False
53,ADM | BAA_Aggressive | DM | GTAA | LAA,0.868972207881361,0.6722152864474961,0.9782608695652174,False
54,ADM | FAA | LAA | RAA | VAA,0.8688293844743701,0.6101254480286739,0.971830985915493,False
55,ADM | DAA | FAA | LAA | QSF,0.8688034460126579,0.6386287149357383,0.971830985915493,False
56,DM | GTAA | LAA | RAA | VAA,0.8687778198989606,0.6101254480286739,0.9833333333333334,False
57,DM | FAA | GPM | LAA | RAA,0.8684415248767261,0.6101254480286739,0.9833333333333334,False
58,BAA_Aggressive | DM | LAA | QSF | RAA,0.8682181671009636,0.6101254480286739,0.9833333333333334,False
59,ADM | DM | LAA | QSF | VAA,0.8679577863445838,0.6722152864474961,0.9782608695652174,False
60,DM | FAA | QSF | RAA | VAA,0.8678884878303557,0.7039891840648093,0.9833333333333334,False
61,DM | GTAA | LAA | QSF | VAA,0.8677498361429675,0.733739837398374,0.9782608695652174,False
62,DM | FAA | KDA | QSF | RAA,0.8675864667627818,0.6910555849523415,0.9833333333333334,False
63,ADM | FAA | LAA | QSF | VAA,0.8675428961341218,0.7039891840648093,0.971830985915493,False
64,BAA_Aggressive | DM | KDA | LAA | QSF,0.8674515463499455,0.7460545933273917,0.9782608695652174,False
65,ADM | FAA | KDA | LAA | QSF,0.867133428255676,0.6910555849523415,0.971830985915493,False
66,ADM | DM | FAA | LAA | PAA,0.8667986311085658,0.6722152864474961,0.9782608695652174,False
67,ADM | BAA_Aggressive | DAA | DM | LAA,0.8661518066690294,0.6722152864474961,0.9782608695652174,False
68,ADM | DM | GPM | QSF | RAA,0.8660460138823352,0.6722152864474961,0.9833333333333334,False
69,ADM | DM | FAA | GPM | RAA,0.8660186283695628,0.6722152864474961,0.9833333333333334,False
70,ADM | BAA_Balanced | FAA | QSF | RAA,0.8657008339191983,0.716141963885919,0.9685534591194968,False
71,BAA_Balanced | DM | LAA | QSF | RAA,0.8655665451372798,0.6101254480286739,0.9833333333333334,False
72,DAA | DM | LAA | QSF | RAA,0.865468176798043,0.6101254480286739,0.9833333333333334,False
73,ADM | DM | LAA | RAA | VAA,0.865217211601165,0.6101254480286739,0.9833333333333334,False
74,ADM | BAA_Aggressive | DM | LAA | PAA,0.8650690739759599,0.6722152864474961,0.9782608695652174,False
75,BAA_Aggressive | DM | FAA | GTAA | LAA,0.8646821730877553,0.6973058880504235,0.9782608695652174,False
76,DAA | DM | GTAA | QSF | RAA,0.8644492036447765,0.710178099565871,0.9833333333333334,False
77,AAA | DM | FAA | LAA | QSF,0.8641876349135036,0.6618125940389378,0.9782608695652174,False
78,DAA | DM | FAA | LAA | RAA,0.8641755578924867,0.6101254480286739,0.9833333333333334,False
79,DM | LAA | QSF | RAA | VAA,0.8641628187795225,0.6101254480286739,0.9833333333333334,False
80,ADM | BAA_Aggressive | DM | KDA | LAA,0.8639527855840804,0.6722152864474961,0.9782608695652174,False
81,BAA_Aggressive | DM | GTAA | LAA | RAA,0.8639518656502349,0.6101254480286739,0.9833333333333334,False
82,BAA_Aggressive | DM | LAA | RAA | VAA,0.8637795805861334,0.6101254480286739,0.9833333333333334,False
83,BAA_Balanced | DM | LAA | QSF | VAA,0.8635765191638317,0.7168017319161111,0.9782608695652174,False
84,ADM | DM | FAA | GTAA | LAA,0.8634858739554268,0.6722152864474961,0.9782608695652174,False
85,ADM | BAA_Balanced | GTAA | LAA | QSF,0.8634820269724732,0.6956911375661375,0.971830985915493,False
86,AAA | ADM | DM | LAA | QSF,0.8632487983266841,0.6722152864474961,0.9782608695652174,False
87,ADM | DAA | GTAA | LAA | QSF,0.8632078492580673,0.710178099565871,0.971830985915493,False
